Gene	Ensembl	MGI	2011 paper	2019 paper	Sum
DNAH10OS	true	true	true	true	4
ZNF843	true	true	true	true	4
AMY1A	true	true	false	true	3
ANGPTL5	true	true	false	true	3
ANKRD30A	true	true	false	true	3
ANKRD30BL	true	true	false	true	3
ARHGEF35	true	true	false	true	3
C20orf203	true	true	false	true	3
CLTCL1	true	true	false	true	3
CSAG1	true	true	false	true	3
DEFB114	true	true	false	true	3
FAM153A	true	true	false	true	3
GAGE1	true	true	false	true	3
GAGE2A	true	true	false	true	3
GAGE10	true	true	false	true	3
GAGE12E	true	true	false	true	3
GOLGA6L10	true	true	false	true	3
H3C14	true	true	false	true	3
H4C14	true	true	false	true	3
HTR3E	true	true	false	true	3
IL26	true	true	false	true	3
MYEOV	true	true	false	true	3
NBPF1	true	true	false	true	3
NBPF3	true	true	false	true	3
NBPF10	true	true	false	true	3
NBPF12	true	true	false	true	3
NBPF14	true	true	false	true	3
NBPF15	true	true	false	true	3
NOTCH2NLA	true	true	false	true	3
NPIPA1	true	true	false	true	3
NPIPB3	true	true	false	true	3
NPIPB9	true	true	false	true	3
NPIPB11	true	true	false	true	3
OR2T7	true	true	false	true	3
OR4K3	true	true	false	true	3
OR10J4	true	true	false	true	3
OR11H1	true	true	false	true	3
PBOV1	true	true	false	true	3
POLR2J2	true	true	false	true	3
PRR20B	true	true	false	true	3
RAB6C	true	true	false	true	3
RGPD5	true	true	false	true	3
SPANXA1	true	true	false	true	3
SPANXA2	true	true	false	true	3
SPANXB1	true	true	false	true	3
SPANXC	true	true	false	true	3
SPANXD	true	true	false	true	3
SPANXN1	true	true	false	true	3
SPANXN2	true	true	false	true	3
SPANXN3	true	true	false	true	3
SPANXN5	true	true	false	true	3
TBC1D3	true	true	false	true	3
TBC1D26	true	true	false	true	3
TP53TG3	true	true	false	true	3
TP53TG3C	true	true	false	true	3
TP53TG3D	true	true	false	true	3
VCX2	true	true	false	true	3
VCX3A	true	true	false	true	3
VCX3B	true	true	false	true	3
VCY	true	true	false	true	3
VNN2	true	true	false	true	3
XAGE1A	true	true	false	true	3
XAGE1B	true	true	false	true	3
ZNF138	true	true	false	true	3
ZNF492	true	true	false	true	3
ABCA10	true	true	false	false	2
ABCC11	true	true	false	false	2
ACSM6	true	true	false	false	2
ACTL8	true	true	false	false	2
ADA2	true	true	false	false	2
ADGRD2	true	true	false	false	2
ADIRF	true	true	false	false	2
ADM5	true	true	false	false	2
AKR1C8	true	true	false	false	2
AMY1B	true	false	false	true	2
AMY2A	true	false	false	true	2
AMY2B	true	false	false	true	2
ANHX	true	true	false	false	2
ANKRD30B	true	true	false	false	2
ANKRD36	true	true	false	false	2
ANKRD36B	true	true	false	false	2
ANKRD36C	true	true	false	false	2
APCDD1L	true	true	false	false	2
APOBEC3A	true	true	false	false	2
APOBEC3A_B	true	true	false	false	2
APOBEC3C	true	true	false	false	2
APOBEC3G	true	true	false	false	2
APOL5	true	true	false	false	2
AQP7B	true	true	false	false	2
AQP10	true	true	false	false	2
ARGFX	true	true	false	false	2
ARMS2	true	true	false	false	2
ARSD	true	true	false	false	2
ARSF	true	true	false	false	2
ARSH	true	true	false	false	2
ARSL	true	true	false	false	2
ASMTL	true	true	false	false	2
ATXN8	true	true	false	false	2
AZU1	true	true	false	false	2
BAGE	true	true	false	false	2
BAGE3	true	true	false	false	2
BAGE4	true	true	false	false	2
BAGE5	true	true	false	false	2
