HGNC Symbol	2019 paper	Ensembl	MGI	2011 paper	Sum
39326	true	false	false	false	1
AATBC	true	false	false	false	1
ABCB10	true	false	false	false	1
ABCC12	true	false	false	false	1
ABCC6	true	false	false	false	1
ABCD1P2	true	false	false	false	1
ABCD1P5	true	false	false	false	1
ABCD4	true	false	false	false	1
ABHD17A	true	false	false	false	1
ABHD17AP1	true	false	false	false	1
AC005042.4	true	false	false	false	1
AC005488.11	true	false	false	false	1
AC008132.13	true	false	false	false	1
AC008132.15	true	false	false	false	1
AC026271.5	true	false	false	false	1
AC027612.6	true	false	false	false	1
AC062028.1	true	false	false	false	1
AC083899.3	true	false	false	false	1
AC096670.3	true	false	false	false	1
AC111200.7	true	false	false	false	1
AC129778.2	true	false	false	false	1
AC138969.4	true	false	false	false	1
ACTR3B	true	false	false	false	1
ACVR1C	true	false	false	false	1
ADARB1	true	false	false	false	1
ADORA2A-AS1	true	false	false	false	1
AFF3	true	false	false	false	1
AGAP1	true	false	false	false	1
AGR3	true	false	false	false	1
AGT	true	false	false	false	1
AH9	true	false	false	false	1
AHRR	true	false	false	false	1
AL592528.1	true	false	false	false	1
AL772307.1	true	false	false	false	1
ALOX5	true	false	false	false	1
AMY1A	true	true	true	false	3
AMY1B	true	true	false	false	2
AMY2A	true	true	false	false	2
AMY2B	true	true	false	false	2
ANAPC1	true	false	false	false	1
ANGPTL5	true	true	true	false	3
ANKRD20A2P	true	false	false	false	1
ANKRD20A4P	true	false	false	false	1
ANKRD30A	true	true	true	false	3
ANKRD30BL	true	true	true	false	3
ANKRD30BP1	true	false	false	false	1
ANKRD62P1-PARP4P3	true	false	false	false	1
ANXA8L1	true	false	false	false	1
APEH	true	false	false	false	1
APOE	true	false	false	false	1
APOL1	true	false	false	false	1
APPBP2	true	false	false	false	1
AQP12B	true	false	false	false	1
AQP7	true	false	false	false	1
AQP7P1	true	false	false	false	1
AQP7P2	true	false	false	false	1
AQP7P4	true	false	false	false	1
AR	true	false	false	false	1
AREG	true	false	false	false	1
ARHGAP11A	true	false	false	false	1
ARHGAP11B	true	false	false	false	1
ARHGAP15	true	false	false	false	1
ARHGAP42	true	false	false	false	1
ARHGEF34P	true	false	false	false	1
ARHGEF35	true	true	true	false	3
ARHGEF5	true	false	false	false	1
ARL17A	true	false	true	false	2
ARMC10P1	true	false	false	false	1
ASPM	true	false	false	false	1
ATP9B	true	false	false	false	1
BAGE2	true	false	false	false	1
BAZ2A	true	true	false	false	2
BCRP7	true	false	false	false	1
BMPR1A	true	false	false	false	1
BOLA2	true	false	false	false	1
BOLL	true	false	false	false	1
BPIFA4P	true	false	false	false	1
BTNL10	true	false	false	false	1
