Gene	Human Immune Population	Group
FCRL2	B NSM	CD molecules|Immunoglobulin like domain containing
COL9A3	B NSM	Collagens|Collagen proteoglycans
GLYATL1B	B Naive	?
FAM177B	B Naive	?
MYO7B	B Naive	Myosin heavy chains, class VII|FERM domain containing
ZNF860	B Naive+Memory	Zinc fingers C2H2-type
CD24	B Naive+Memory	CD molecules
EBF1	B Naive+Memory	Early B-cell factors|IPT domain containing
PLEKHG7	B SM	Pleckstrin homology domain containing|Dbl family Rho GEFs
DSG3	Basophils LD	Desmosomal cadherins
OR6K3	Basophils LD	Olfactory receptors, family 6
OR6K4P	Basophils LD	Olfactory receptors, family 6
TRIM49D1	Basophils LD	Ring finger proteins|Tripartite motif containing
TRIM64B	Basophils LD	Ring finger proteins|Tripartite motif containing
TRIM49D2	Basophils LD	Ring finger proteins|Tripartite motif containing
TRIM51	Basophils LD	Ring finger proteins|Tripartite motif containing
KRT81	Basophils LD	Keratins, type II
TRIM64	Basophils LD	Ring finger proteins|Tripartite motif containing
UGT2B11	Basophils LD	UDP glucuronosyltransferases
OR2A4	Basophils LD	Olfactory receptors, family 2
GCSAML	Basophils LD	?
GPR34	Basophils LD	G protein-coupled receptors, Class A orphans
RP11-466P24.6	Basophils LD	??
KRT86	Basophils LD	Keratins, type II
ADGRE4P	Basophils LD	Adhesion G protein-coupled receptors, subfamily E
IL3RA	Basophils LD	CD molecules|Interleukin receptors|Pseudoautosomal region 1
MS4A4E	Basophils LD	Membrane spanning 4-domains|MicroRNA protein coding host genes
OR2A7	Basophils LD	Olfactory receptors, family 2
OXER1	Basophils LD	Leukotriene receptors
AREG	Basophils LD	Receptor ligands
RAB32	Basophils LD	RAB, member RAS oncogene GTPases|A-kinase anchoring proteins
NFE2	Basophils LD	Basic leucine zipper proteins
ADGRE3	Granulocytes LD	Adhesion G protein-coupled receptors, subfamily E
CFH	MAIT	Sushi domain containing|Complement system regulators and receptors
LILRA5	Monocytes	CD molecules|Activating leukocyte immunoglobulin like receptors
VSTM1	Monocytes C	Immunoglobulin like domain containing
CXCL2	Monocytes C	Chemokine ligands
CXCL3	Monocytes C	Chemokine ligands
GPR84	Monocytes C	G protein-coupled receptors, Class A orphans
NT5DC4	Monocytes I	?
CASP5	Monocytes NC	Caspases|Caspase recruitment domain containing
AATBC	Monocytes NC+I	Long non-coding RNAs with non-systematic symbols
CTSL	Monocytes NC+I	Cathepsins
LILRA1	Monocytes NC+I	CD molecules|Activating leukocyte immunoglobulin like receptors
LILRB2	Monocytes NC+I	CD molecules|Inhibitory leukocyte immunoglobulin like receptors|Ig-like cell adhesion molecule family
FCGR2C	Monocytes NC+I	CD molecules|Immunoglobulin like domain containing
PILRA	Myeloid	V-set domain containing
LILRA2	Myeloid	CD molecules|Activating leukocyte immunoglobulin like receptors
SIGLEC14	Myeloid	V-set domain containing|Sialic acid binding Ig like lectins
ZNF385A	Myeloid Phagocytes	?
CD33	Myeloid Phagocytes	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins
TICAM2	Myeloid Phagocytes	TIR domain containing
SIGLEC9	Myeloid Phagocytes	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins
ZMAT4	NK	Zinc fingers matrin-type
LGALS9B	NK	Galectins
LGALS9C	NK	Galectins
SPTSSB	NK	?
KIR3DL1	NK	CD molecules|Killer cell immunoglobulin like receptors
KLRF1	NK	Killer cell lectin like receptors|C-type lectin domain containing
PDGFD	NK	?
SIGLEC7	NK	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins
PI3	Neutrophils LD	WAP four-disulfide core domain containing
CSNK1A1L	Neutrophils LD	casein kinase 1 family
BTNL8	Neutrophils LD	Butyrophilins|V-set domain containing
CXCL1	Neutrophils LD	Chemokine ligands
DSC2	Neutrophils LD	Desmosomal cadherins
H2BC4	Neutrophils LD	H2B histones
H3C4	Neutrophils LD	H3 histones
ST20	Neutrophils LD	?
S100P	Neutrophils LD	S100 calcium binding proteins|EF-hand domain containing
S100A12	Neutrophils LD	S100 calcium binding proteins|EF-hand domain containing
FCGR3B	Neutrophils LD	CD molecules|Immunoglobulin like domain containing
PEAK3	Neutrophils LD	?
FCAR	Neutrophils LD	CD molecules|Immunoglobulin like domain containing
HSPA6	Neutrophils LD	Heat shock 70kDa proteins
H2BC18	Neutrophils LD	H2B histones
FCGR1BP	Neutrophils LD	Immunoglobulin like domain containing
FOLR3	Neutrophils LD	?
FCGR1A	Neutrophils LD	CD molecules|Immunoglobulin like domain containing
