Gene	Ensembl	MGI	Sum
1110025L11Rik	true	true	2
1110057P08Rik	true	true	2
1300017J02Rik	true	true	2
1500009C09Rik	true	true	2
1500011B03Rik	true	true	2
1600014C23Rik	true	true	2
1700001F09Rik	true	true	2
1700001J03Rik	true	true	2
1700001K19Rik	true	true	2
1700003H04Rik	true	true	2
1700006A11Rik	true	true	2
1700008P02Rik	true	true	2
1700010B08Rik	true	true	2
1700012A03Rik	true	true	2
1700012B07Rik	true	true	2
1700013G24Rik	true	true	2
1700014B07Rik	true	true	2
1700014D04Rik	true	true	2
1700016D06Rik	true	true	2
1700018F24Rik	true	true	2
1700018G05Rik	true	true	2
1700019A02Rik	true	true	2
1700020L13Rik	true	true	2
1700020N01Rik	true	true	2
1700020N15Rik	true	true	2
1700024B05Rik	true	true	2
1700025B11Rik	true	true	2
1700025C18Rik	true	true	2
1700028J19Rik	true	true	2
1700029F12Rik	true	true	2
1700031F05Rik	true	true	2
1700031L13Rik	true	true	2
1700034E13Rik	true	true	2
1700034I23Rik	true	true	2
1700049E17Rik1	true	true	2
1700049E17Rik2	true	true	2
1700056E22Rik	true	true	2
1700064H15Rik	true	true	2
1700067P10Rik	true	true	2
1700069L16Rik	true	true	2
1700074P13Rik	true	true	2
1700084M14Rik	true	true	2
1700086D15Rik	true	true	2
1700109H08Rik	true	true	2
1700122O11Rik	true	true	2
1700123K08Rik	true	true	2
1700129C05Rik	true	true	2
1810009J06Rik	true	true	2
1810024B03Rik	true	true	2
1810049J17Rik	true	true	2
1810062G17Rik	true	true	2
1810065E05Rik	true	true	2
2010106E10Rik	true	true	2
2010109A12Rik	true	true	2
2200002J24Rik	true	true	2
2210017I01Rik	true	true	2
2210418O10Rik	true	true	2
2300003K06Rik	true	true	2
2310002L09Rik	true	true	2
2310003L06Rik	true	true	2
2310046K23Rik	true	true	2
2310079G19Rik	true	true	2
2610008E11Rik	true	true	2
2610042L04Rik	true	true	2
2610044O15Rik8	true	true	2
2610318N02Rik	true	true	2
2700097O09Rik	true	true	2
2810021J22Rik	true	true	2
2810408A11Rik	true	true	2
3110021N24Rik	true	true	2
3110040M04Rik	true	true	2
3110082J24Rik	true	true	2
3300002I08Rik	true	true	2
4632433K11Rik	true	true	2
4921509C19Rik	true	true	2
4921511C20Rik	true	true	2
4921524L21Rik	true	true	2
4930402F06Rik	true	true	2
4930402K13Rik	true	true	2
4930404H24Rik	true	true	2
4930412O13Rik	true	true	2
4930432M17Rik	true	true	2
4930438A08Rik	true	true	2
4930447A16Rik	true	true	2
4930447F04Rik	true	true	2
4930449I24Rik	true	true	2
4930455H04Rik	true	true	2
4930469K13Rik	true	true	2
4930470P17Rik	true	true	2
4930474N05Rik	true	true	2
4930480E11Rik	true	true	2
4930503B20Rik	true	true	2
4930503E14Rik	true	true	2
4930512M02Rik	true	true	2
4930513O06Rik	true	true	2
4930516K23Rik	true	true	2
4930519G04Rik	true	true	2
4930522L14Rik	true	true	2
4930544G11Rik	true	true	2
4930556J24Rik	true	true	2
4930563M21Rik	true	true	2
4930564D02Rik	true	true	2
4930568D16Rik	true	true	2
4930572O03Rik	true	true	2
4930578G10Rik	true	true	2
4930583I09Rik	true	true	2
4930595D18Rik	true	true	2
4930595M18Rik	true	true	2
4930596D02Rik	true	true	2
4931400O07Rik	true	true	2
4931408C20Rik	true	true	2
4931422A03Rik	true	true	2
4931429L15Rik	true	true	2
4932411N23Rik	true	true	2
4932414N04Rik	true	true	2
4933402D24Rik	true	true	2
4933402N22Rik	true	true	2
4933403O08Rik	true	true	2
4933407L21Rik	true	true	2
4933409G03Rik	true	true	2
4933414I15Rik	true	true	2
4933416I08Rik	true	true	2
4933421I07Rik	true	true	2
4933428G20Rik	true	true	2
4933428M09Rik	true	true	2
4933436I01Rik	true	true	2
5031410I06Rik	true	true	2
5430401F13Rik	true	true	2
5430402E10Rik	true	true	2
5430403G16Rik	true	true	2
5530400C23Rik	true	true	2
5530401A14Rik	true	true	2
5730522E02Rik	true	true	2
6030498E09Rik	true	true	2
6330403K07Rik	true	true	2
6330409D20Rik	true	true	2
6330411D24Rik	true	true	2
6720489N17Rik	true	true	2
7530416G11Rik	true	true	2
9030624G23Rik	true	true	2
9130023H24Rik	true	true	2
9130230L23Rik	true	true	2
9230102O04Rik	true	true	2
9230112D13Rik	true	true	2
9330182O14Rik	true	true	2
9430069I07Rik	true	true	2
9530002B09Rik	true	true	2
9630041A04Rik	true	true	2
9830107B12Rik	true	true	2
9930022D16Rik	true	true	2
9930111J21Rik1	true	true	2
9930111J21Rik2	true	true	2
A030003K21Rik	true	true	2
A030005K14Rik	true	true	2
A030005L19Rik	true	true	2
A030014E15Rik	true	true	2
A230072I06Rik	true	true	2
A2ml1	true	true	2
A330070K13Rik	true	true	2
A530032D15Rik	true	true	2
A530064D06Rik	true	true	2
A530084C06Rik	true	true	2
A630001G21Rik	true	true	2
A630010A05Rik	true	true	2
A630023A22Rik	true	true	2
A630073D07Rik	true	true	2
A630076J17Rik	true	true	2
A630089N07Rik	true	true	2
A630095N17Rik	true	true	2
A730009L09Rik	true	true	2
A730049H05Rik	true	true	2
A730071L15Rik	true	true	2
A830005F24Rik	true	true	2
A830031A19Rik	true	true	2
A930002H24Rik	true	true	2
A930003A15Rik	true	true	2
A930004D18Rik	true	true	2
A930007A09Rik	true	true	2
A930009A15Rik	true	true	2
A930033H14Rik	true	true	2
AF067061	true	true	2
AF067063	true	true	2
AI182371	true	true	2
AI854703	true	true	2
AU018091	true	true	2
AV320801	true	true	2
AW822073	true	true	2
AY074887	true	true	2
AY358078	true	true	2
Aadacl2fm1	true	true	2
Aadacl2fm2	true	true	2
Aadacl2fm3	true	true	2
Abca14	true	true	2
Abca15	true	true	2
Abca16	true	true	2
Acnat1	true	true	2
Acnat2	true	true	2
Acsbg3	true	true	2
Acte1	true	true	2
Actl11	true	true	2
Adam26a	true	true	2
Adam26b	true	true	2
Adam34	true	true	2
Adam34l	true	true	2
Adam4	true	true	2
Adam6b	true	true	2
Adh6a	true	true	2
Albfm1	true	true	2
Alox12e	true	true	2
Amy2a1	true	true	2
Amy2a3	true	true	2
Amy2a4	true	true	2
Aox2	true	true	2
Aox4	true	true	2
Arhgap33os	true	true	2
Aym1	true	true	2
B020031M17Rik	true	true	2
B230217C12Rik	true	true	2
B230307C23Rik	true	true	2
B430305J03Rik	true	true	2
B430306N03Rik	true	true	2
B630019K06Rik	true	true	2
B830017H08Rik	true	true	2
B930094E09Rik	true	true	2
BB014433	true	true	2
BC024063	true	true	2
BC024139	true	true	2
BC030500	true	true	2
BC035044	true	true	2
BC048679	true	true	2
BC061237	true	true	2
BC107364	true	true	2
BC147527	true	true	2
Bmyc	true	true	2
Bpifa6	true	true	2
Bpifb9b	true	true	2
Brd8dc	true	true	2
Bsph2	true	true	2
Btbd35f1	true	true	2
Btbd35f10	true	true	2
Btbd35f11	true	true	2
Btbd35f12	true	true	2
Btbd35f13	true	true	2
Btbd35f14	true	true	2
Btbd35f15	true	true	2
Btbd35f16	true	true	2
Btbd35f17	true	true	2
Btbd35f18	true	true	2
Btbd35f19	true	true	2
Btbd35f2	true	true	2
Btbd35f20	true	true	2
