Gene	Ensembl	Sum
0610009B22Rik	true	1
1110025L11Rik	true	1
1110057P08Rik	true	1
1190007I07Rik	true	1
1300017J02Rik	true	1
1500009C09Rik	true	1
1500011B03Rik	true	1
1600014C23Rik	true	1
1700001F09Rik	true	1
1700001J03Rik	true	1
1700001K19Rik	true	1
1700003H04Rik	true	1
1700006A11Rik	true	1
1700008P02Rik	true	1
1700009N14Rik	true	1
1700010B08Rik	true	1
1700012A03Rik	true	1
1700012B07Rik	true	1
1700013G24Rik	true	1
1700014B07Rik	true	1
1700014D04Rik	true	1
1700015G11Rik	true	1
1700016D06Rik	true	1
1700018F24Rik	true	1
1700018G05Rik	true	1
1700019A02Rik	true	1
1700020A23Rik	true	1
1700020L13Rik	true	1
1700020N01Rik	true	1
1700020N15Rik	true	1
1700024B05Rik	true	1
1700025B11Rik	true	1
1700025C18Rik	true	1
1700028J19Rik	true	1
1700029F12Rik	true	1
1700031F05Rik	true	1
1700031L13Rik	true	1
1700034E13Rik	true	1
1700034I23Rik	true	1
1700049E17Rik1	true	1
1700049E17Rik2	true	1
1700056E22Rik	true	1
1700064H15Rik	true	1
1700067P10Rik	true	1
1700069L16Rik	true	1
1700074P13Rik	true	1
1700084M14Rik	true	1
1700086D15Rik	true	1
1700109H08Rik	true	1
1700122O11Rik	true	1
1700123K08Rik	true	1
1700129C05Rik	true	1
1810009J06Rik	true	1
1810024B03Rik	true	1
1810049J17Rik	true	1
1810062G17Rik	true	1
1810065E05Rik	true	1
2010106E10Rik	true	1
2010109A12Rik	true	1
2010315B03Rik	true	1
2200002J24Rik	true	1
2210010C04Rik	true	1
2210017I01Rik	true	1
2210418O10Rik	true	1
2300003K06Rik	true	1
2310002L09Rik	true	1
2310003L06Rik	true	1
2310046K23Rik	true	1
2310061N02Rik	true	1
2310079G19Rik	true	1
2410002F23Rik	true	1
2410004P03Rik	true	1
2610002M06Rik	true	1
2610008E11Rik	true	1
2610042L04Rik	true	1
2610044O15Rik8	true	1
