Gene name	Human gene name
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Cytb	MT-CYB
	SP100
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	SP110
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
Vmn1r186	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	SP110
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	SP110
	SP110
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	SP110
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	
	
	
	PRAMEF15
	PRAMEF2
	PRAMEF9
	PRAMEF26
	PRAMEF17
	PRAMEF19
	PRAMEF6
	PRAMEF20
	PRAMEF18
	PRAMEF10
	PRAMEF8
	PRAMEF1
	PRAMEF12
	PRAMEF25
	PRAMEF14
	PRAMEF4
	PRAMEF11
	PRAMEF7
	PRAMEF13
	PRAMEF5
	PRAMEF33
	PRAMEF27
	SP110
	
