Gene	Immune Population	Group	Top blastp against mouse
COL9A3	B NSM	Collagens|Collagen proteoglycans	0.512
FAM177B	B Naive	?	0.388
GLYATL1B	B Naive	?	0.412
ZNF860	B Naive+Memory	Zinc fingers C2H2-type	0.438
PLEKHG7	B SM	Pleckstrin homology domain containing|Dbl family Rho GEFs	0.258
GCSAML	Basophils LD	?	0.292
IL3RA	Basophils LD	CD molecules|Interleukin receptors|Pseudoautosomal region 1	0.305
KRT81	Basophils LD	Keratins, type II	0.881
KRT86	Basophils LD	Keratins, type II	0.872
OR14L1P	Basophils LD	Olfactory receptors, family 14	0.53
OR6K3	Basophils LD	Olfactory receptors, family 6	0.784
OXER1	Basophils LD	Leukotriene receptors	0.418
RAB32	Basophils LD	RAB, member RAS oncogene GTPases|A-kinase anchoring proteins	0.839
TRIM49D1	Basophils LD	Ring finger proteins|Tripartite motif containing	0.364
TRIM49D2	Basophils LD	Ring finger proteins|Tripartite motif containing	0.364
TRIM51	Basophils LD	Ring finger proteins|Tripartite motif containing	0.367
TRIM64	Basophils LD	Ring finger proteins|Tripartite motif containing	0.348
TRIM64B	Basophils LD	Ring finger proteins|Tripartite motif containing	0.348
UGT2B11	Basophils LD	UDP glucuronosyltransferases	0.704
ADGRE3	Granulocytes LD	Adhesion G protein-coupled receptors, subfamily E	0.459
CFH	MAIT	Sushi domain containing|Complement system regulators and receptors	0.614
CXCL2	Monocytes C	Chemokine ligands	0.735
CXCL3	Monocytes C	Chemokine ligands	0.685
GPR84	Monocytes C	G protein-coupled receptors, Class A orphans	0.856
VSTM1	Monocytes C	Immunoglobulin like domain containing	0.382
NT5DC4	Monocytes I	?	0.654
CASP5	Monocytes NC	Caspases|Caspase recruitment domain containing	0.636
CTSL	Monocytes NC+I	Cathepsins	0.785
LILRA1	Monocytes NC+I	CD molecules|Activating leukocyte immunoglobulin like receptors	0.507
LILRB2	Monocytes NC+I	CD molecules|Inhibitory leukocyte immunoglobulin like receptors|Ig-like cell adhesion molecule family	0.452
LILRA2	Myeloid	CD molecules|Activating leukocyte immunoglobulin like receptors	0.513
PILRA	Myeloid	V-set domain containing	0.469
SIGLEC14	Myeloid	V-set domain containing|Sialic acid binding Ig like lectins	0.498
TICAM2	Myeloid Phagocytes	TIR domain containing	0.744
KIR2DP1	NK	Killer cell immunoglobulin like receptors	0.401
KLRF1	NK	Killer cell lectin like receptors|C-type lectin domain containing	0.303
LGALS9B	NK	Galectins	0.685
LGALS9C	NK	Galectins	0.688
APOBEC3A	Neutrophils LD	Apolipoprotein B mRNA editing enzyme catalytic subunits	0.426
BTNL8	Neutrophils LD	Butyrophilins|V-set domain containing	0.396
CEACAM3	Neutrophils LD	CD molecules|V-set domain containing|CEA cell adhesion molecule family	0.528
CEACAM4	Neutrophils LD	V-set domain containing|CEA cell adhesion molecule family	0.472
CSNK1A1L	Neutrophils LD	casein kinase 1 family	0.91
CXCL1	Neutrophils LD	Chemokine ligands	0.701
CXCR1	Neutrophils LD	CD molecules|Interleukin receptors|C-X-C motif chemokine receptors	0.686
FCAR	Neutrophils LD	CD molecules|Immunoglobulin like domain containing|Fc receptors	0.327
H2AC19	Neutrophils LD	H2A histones	1
H3C4	Neutrophils LD	H3 histones	1
HSPA6	Neutrophils LD	Heat shock 70kDa proteins	0.815
LINC02218	Neutrophils LD	Long intergenic non-protein coding RNAs	0.441
PEAK3	Neutrophils LD	?	0.268
PI3	Neutrophils LD	WAP four-disulfide core domain containing	0.941
S100A12	Neutrophils LD	S100 calcium binding proteins|EF-hand domain containing	0.388
S100P	Neutrophils LD	S100 calcium binding proteins|EF-hand domain containing	0.545
SIGLEC5	Neutrophils LD	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins	0.455
SIRPB2	Neutrophils LD	V-set domain containing|Signal regulatory proteins	0.348
SIRPD	Neutrophils LD	V-set domain containing|Signal regulatory proteins	0.48
ST20	Neutrophils LD	?	0.724
TMEM272	Neutrophils LD	?	0.368
APOBEC3B	Plasmablasts	Apolipoprotein B mRNA editing enzyme catalytic subunits|Minor histocompatibility antigens	0.359
PLAAT2	Plasmablasts	Phospholipase A and acyltransferase family	0.701
ZNF683	T CD8 TE	Zinc fingers C2H2-type	0.56
TRABD2A	T Naive	?	0.648
FAAH2	Tfh+Th	?	0.304
CD1B	mDCs	CD molecules|C1-set domain containing	0.489
CD1E	mDCs	CD molecules|C1-set domain containing	0.521
CLIC2	mDCs	Chloride intracellular channels	0.662
FPR3	mDCs	Formyl peptide receptors	0.634
CCDC183	pDCs	?	0.76
CTSV	pDCs	Cathepsins	0.792
GGTA1	pDCs	?	0.654
KCNK17	pDCs	Potassium two pore domain channel subfamily K 	0.42
NLRP7	pDCs	NLR family|Pyrin domain containing	0.408
NOTCH4	pDCs	Notch receptors	0.808
PROC	pDCs	Receptor ligands|Gla domain containing	0.695
SLC9C2	pDCs	Solute carriers	0.292
SMIM6	pDCs	?	0.565
