Gene name	Mouse gene name
MT-ND1	mt-Nd1
MT-ND2	mt-Nd2
MT-CO1	mt-Co1
MT-CO2	mt-Co2
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-ND3	mt-Nd3
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-CYB	mt-Cytb
	
	
INTS3	
KIR2DL3	
KIR2DL4	
KIR3DL2	
KIR2DL1	
KIR3DL1	
KIR2DS3	
KIR3DL3	
KIR2DL4	
KIR2DL2	
KIR2DL3	
KIR3DL3	
KIR2DL4	
KIR3DL1	
KIR2DL4	
KIR2DL4	
PCMTD2	
NCR1	
KIR3DL1	
KIR3DP1	
KIR2DS2	
KIR2DL3	
KIR2DL4	
KIR2DL1	
KIR2DL4	
FCAR	
KIR2DL1	
KIR3DL1	
OPRL1	
KIR2DL2	
NPBWR2	
KIR2DL4	
MYT1	
KIR3DL1	
KIR3DL3	
KIR2DL2	
GATAD2B	
KIR2DL1	
KIR2DL1	
KIR3DL2	
KRT20	
KIR2DS4	
KIR3DL3	
KIR3DL1	
KIR3DL3	
KRTAP3-1	
FCAR	
KRTAP3-2	
KIR3DL1	
KRTAP4-9	
SLC27A3	
DNAH10	
KRTAP2-4	
KIR2DS4	
KIR3DL3	
KRT23	
KIR3DL1	
KIR3DL1	
KIR2DS4	
KIR2DS5	
FCAR	
KIR2DL1	
KIR3DL3	
KIR2DS2	
KIR3DL1	
KIR2DL5B	
KIR2DL4	
KIR3DL2	
KIR3DS1	
KIR2DS2	
KIR2DS1	
KIR2DS3	
KIR3DL3	
KIR2DL1	
KIR3DL2	
KIR2DS2	
KIR2DL2	
KIR2DL4	
KIR3DL2	
KIR3DL2	
KIR3DL1	
KIR2DL1	
	
KIR2DL1	
	
CCDC92	
KIR2DS3	
KIR2DL5A	
KIR2DS3	
KIR2DL4	
KIR3DL1	
KRT40	
KIR2DL2	
KIR2DL3	
KIR2DL5A	
KIR2DL2	
KIR2DL3	
KIR2DL4	
KIR3DL2	
KIR2DL4	
KIR3DS1	
KRTAP1-1	
	
KIR2DL5B	
KIR2DL4	
KRTAP4-11	
KRTAP1-3	
KRTAP4-16	
KIR2DL3	
KRT12	
KIR2DS3	
KIR2DL3	
KRTAP1-5	
KRT39	
KIR3DS1	
KIR3DL3	
KIR2DS5	
NCR1	
KIR3DL1	
KIR2DL5B	
KIR3DL2	
KIR3DL3	
KRTAP2-1	
KIR2DL3	
KIR3DL3	
KRTAP3-3	
KIR2DL1	
KIR3DL2	
KRTAP2-3	
KRTAP4-12	
KRTAP1-4	
	
KRTAP4-8	
KIR3DL3	
KIR2DS1	
KIR2DL5A	
KIR2DS2	
KIR3DL3	
KIR2DS2	
KIR3DS1	
KIR2DL3	
KIR2DL4	
KIR3DL2	
KIR3DL2	
KIR2DS2	
KIR3DL2	
KIR3DL1	
HS3ST6	
KIR2DL3	
KIR3DL1	
KIR3DL3	
KIR3DL3	
KIR2DL5B	
KIR2DS2	
KIR3DL2	
KIR2DL2	
KIR3DL3	
KIR2DL3	
KIR2DS1	
FCAR	
KIR3DL3	
KIR3DL2	
KIR2DL3	
KIR2DS5	
NCR1	
KIR2DS1	
FCAR	
KIR3DL1	
KIR2DL1	
ZNF430	
KIR2DL3	
KIR2DL5A	
KIR2DL1	
SNTG2	
ZNF43	
KIR2DL4	
KIR2DS4	
ZNF100	
ADI1	
DLG5	
KIR2DL1	
TRAPPC12	
NCR1	
PPIAL4F	
KIR3DL3	
ZNF85	
KIR3DS1	
KIR3DP1	
KIR2DL4	
KIR2DL4	
KIR2DL1	
PIWIL1	
FCAR	
KIR2DL4	
KIR2DS4	
SNTG2	
OR9G4	
ZNF66	
	
OR9G1	
OR9G9	
KIR3DL3	
KIR3DL2	
TPO	
KRTAP9-9	
KRTAP9-2	
KIR3DL2	
	Prodh
KIR3DL3	
KRTAP9-4	
KRTAP9-3	
KIR3DL3	
KCNQ2	
	
KRTAP29-1	
KIR3DL2	
KRTAP9-2	
KRTAP9-4	
KRTAP9-6	
KIR3DL2	
KRTAP9-7	
KIR2DL4	
KIR2DL4	
KRTAP29-1	
KRTAP9-9	
	
KIR2DL2	
	Dgcr6
FTCD	
KIR2DS2	
KIR3DL1	
	
	
KIR2DS4	
	
SINHCAF	
KIR2DL2	
KIR2DL3	
LSS	
SBNO2	
KIR2DL1	
PROP1	
CTDP1	
RPS17	
KIR2DL1	
ERICH1	
PRB1	
KIR2DL5A	
NCR1	
	
KIR2DS1	
GARRE1	
KIR2DL4	
KIR3DL3	
LSM14A	
GOLGA6L10	
KIR2DS4	
KIR3DL2	
DSEL	
NCR1	
KIR3DL2	
CPEB1	
KIR2DL1	
CRIM1	
SPATC1L	
DLGAP2	
SLC45A2	
KIR2DL5B	
RXFP3	
ADAMTS12	
KIR3DL3	
KIR3DL1	
KIR2DL1	
	
	
CYFIP1	
APOBEC3A	
KIR2DL4	
AP2A2	
PTCHD3	
SEPTIN9	
GOLGA6L22	
KRTAP5-2	
KIR2DS4	
KIR2DL2	
CNTNAP2	
KRTAP5-3	
KRTAP5-4	
KRTAP5-1	
KIR3DL1	
KRTAP5-5	
TUBGCP5	
DUSP8	
ABCB11	
SKA1	
GOLGA6L1	
G6PC2	
LRRC56	
DHX36	
PROP1	
SMN2	
	
	
SPC25	
METRNL	
KIR3DL2	
GOLGA6L1	
ARHGEF26	
PHRF1	
TUBGCP5	
TBCD	
NOSTRIN	
KIR2DS3	
MEGF11	
KIR3DL3	
GTF2H2	
PAXBP1	
C21orf62	
KRTAP5-6	
KRTAP5-1	
KIR2DS2	
KRTAP5-4	
KRTAP5-5	
GOLGA8F	
B3GNTL1	
DUSP8	
IFITM10	
KRTAP5-3	
KRTAP5-2	
	
	
GOLGA8G	
GART	
KIR2DL4	
DECR2	
DNAJC28	
KIF26B	
KIR2DS1	
IFNGR2	
KIR3DL2	
NDUFA6	
SNTB2	
LMNTD2	
UTP4	
SMDT1	
CYP2D6	
NKD2	
MUC4	
RAB11FIP3	
TMEM50B	
RNH1	
GOLGA6L9	
HERC2	
KIR2DS2	
	
KIR2DL5B	
TNFRSF14	
KIR2DS3	
	
SLC12A7	
KIR2DL4	
MUC20	
	
OR2T6	
OR2T2	
OR2T4	
OR2T7	
NDUFA6	
OR2T1	
OR2T3	
MUC4	
OR2T5	
TCF20	
MUC4	
